Category	Spotlength	Recognitionmax	GRPmax	Budget
Telecom	30	50%	505	303000
Telecom	20	50%	635	381000
Telecom	45	58%	521	312600
Telecom	30	28%	461	276600
Telecom	45	52%	477	286200
Telecom	40	50%	361	216600
Telecom	40	61%	385	231000
Telecom	45	61%	524	314400
Telecom	45	55%	522	313080
Telecom	45	58%	463	277860
Telecom	45	73%	631	378480
Telecom	30	67%	942	565200
Telecom	30	38%	518	310800
Telecom	25	24%	622	373200
Telecom	30	74%	460	276000
Telecom	35	36%	379	227400
Telecom	30	45%	457	274200
Telecom	25	40%	731	438600
Telecom	30	36%	565	339000
Telecom	40	65%	568	341040
Telecom	40	60%	626	375540
Telecom	45	50%	536	321600
Telecom	35	68%	450	270000
Telecom	45	49%	378	226800
Telecom	25	42%	947	568200
Telecom	30	66%	647	388200
Telecom	30	49%	179	107400
Telecom	30	52%	1125	675000
Telecom	60	19%	418	250800
Telecom	30	44%	230	138000
Telecom	30	62%	331	198600
Telecom	45	54%	362	217200
Telecom	25	49%	255	153060
Telecom	60	55%	842	505200
Telecom	30	27%	1015	609000
Telecom	30	62%	675	404820
FMCG	20	24%	500	300000
Telecom	30	58%	546	327600
Telecom	30	53%	543	325800
Telecom	40	42%	377	226200
Telecom	30	47%	342	205200
Telecom	30	31%	473	283800
Telecom	45	40%	337	202200
Telecom	35	35%	503	301800
Telecom	45	39%	401	240600
Telecom	45	28%	401	240600
Telecom	25	35%	524	314400
